,Overall rank,Score,Country,GDP (Billions),Social Score,Basic Human Needs,Foundation of Wellbeing,Opportunity,Life Expectancy,language,population,lat,lng,independent,landlocked,cca3,GDP per Capita,Region
76,87,5.247,Turkmenistan,53.087,58.35,83.18,59.84,32.05,68.5,"{'rus': 'Russian', 'tuk': 'Turkmen'}",6031187,40.0,60.0,True,True,TKM,8.80208158029257e-06,Central and Eastern Europe
77,88,5.211,Algeria,163.812,69.92,87.69,66.05,56.02,77.318,{'ara': 'Arabic'},44700000,28.0,3.0,True,False,DZA,3.6646979865771813e-06,Middle East and Northern Africa
78,89,5.208,Morocco,126.035,66.9,84.78,64.5,51.43,77.21,"{'ara': 'Arabic', 'ber': 'Berber'}",36910558,32.0,-5.0,True,False,MAR,3.41460565294082e-06,Middle East and Northern Africa
79,90,5.208,Azerbaijan,52.645,64.11,83.4,67.62,41.32,73.226,"{'aze': 'Azerbaijani', 'rus': 'Russian'}",10110116,40.5,47.5,True,True,AZE,5.207160827828287e-06,Central and Eastern Europe
80,91,5.197,Lebanon,33.38,69.37,84.32,67.14,56.63,79.18,"{'ara': 'Arabic', 'fra': 'French'}",6825442,33.83333333,35.83333333,True,False,LBN,4.890525771078269e-06,Middle East and Northern Africa
81,92,5.192,Indonesia,1150.245,69.49,79.79,68.76,59.92,72.138,{'ind': 'Indonesian'},273523621,-5.0,120.0,True,False,IDN,4.20528580235489e-06,Southeastern Asia
82,93,5.191,China,16862.979,66.12,82.93,64.79,50.63,77.3,{'zho': 'Chinese'},1402112000,35.0,105.0,True,False,CHN,1.202684165031039e-05,Eastern Asia
83,94,5.175,Vietnam,368.002,68.85,82.03,72.31,52.23,75.67,{'vie': 'Vietnamese'},97338583,16.16666666,107.83333333,True,False,VNM,3.780638557271786e-06,Southeastern Asia
84,95,5.082,Bhutan,2.48,68.34,82.02,65.9,57.09,72.472,{'dzo': 'Dzongkha'},771612,27.5,90.5,True,True,BTN,3.214050585009046e-06,Southern Asia
85,96,5.044,Cameroon,44.806,51.29,56.31,54.2,43.36,60.01,"{'eng': 'English', 'fra': 'French'}",26545864,6.0,12.0,True,False,CMR,1.6878712254383583e-06,Sub-Saharan Africa
86,97,5.011,Bulgaria,77.907,79.86,90.88,78.19,70.51,75.362,{'bul': 'Bulgarian'},6927288,43.0,25.0,True,False,BGR,1.1246392527638522e-05,Central and Eastern Europe
87,98,4.996,Ghana,75.487,64.86,65.19,68.04,61.35,64.682,{'eng': 'English'},31072945,8.0,-2.0,True,False,GHA,2.4293481033098085e-06,Sub-Saharan Africa
88,100,4.913,Nepal,34.265,57.6,67.59,53.43,51.79,71.454,{'nep': 'Nepali'},29136808,28.0,84.0,True,True,NPL,1.1760039054380974e-06,Southern Asia
89,101,4.906,Jordan,45.344,71.5,89.35,69.61,55.54,74.874,{'ara': 'Arabic'},10203140,31.0,36.0,True,False,JOR,4.4441221035877195e-06,Middle East and Northern Africa
90,102,4.883,Benin,18.067,55.56,51.94,60.97,53.77,62.532,{'fra': 'French'},12123198,9.5,2.25,True,False,BEN,1.4902833394290846e-06,Sub-Saharan Africa
91,104,4.799,Gabon,18.293,63.93,73.31,62.78,55.71,66.836,{'fra': 'French'},2225728,-1.0,11.75,True,False,GAB,8.218883888777066e-06,Sub-Saharan Africa
92,106,4.722,South Africa,415.315,70.26,73.35,69.28,68.14,64.628,"{'afr': 'Afrikaans', 'eng': 'English', 'nbl': 'Southern Ndebele', 'nso': 'Northern Sotho', 'sot': 'Southern Sotho', 'ssw': 'Swazi', 'tsn': 'Tswana', 'tso': 'Tsonga', 'ven': 'Venda', 'xho': 'Xhosa', 'zul': 'Zulu'}",59308690,-29.0,24.0,True,False,ZAF,7.002599450434667e-06,Sub-Saharan Africa
93,107,4.719,Albania,16.77,75.41,86.92,82.71,56.6,78.844,{'sqi': 'Albanian'},2837743,41.0,20.0,True,False,ALB,5.9096260655034655e-06,Central and Eastern Europe
94,109,4.7,Cambodia,26.08,56.27,67.27,62.09,39.43,70.32,{'khm': 'Khmer'},16718971,13.0,105.0,True,False,KHM,1.5599046137468626e-06,Southeastern Asia
95,111,4.681,Senegal,27.576,60.04,66.2,61.17,52.76,68.59,{'fra': 'French'},16743930,14.0,-14.0,True,False,SEN,1.6469251842309422e-06,Sub-Saharan Africa
96,112,4.668,Somalia,5.424,35.58,36.87,43.98,25.9,58.06,"{'ara': 'Arabic', 'som': 'Somali'}",15893219,10.0,49.0,True,False,SOM,3.4127762286544977e-07,Sub-Saharan Africa
